Date,Year,Paddock,Territory,Nest_ID,Egg_ID,Length,Width,Hatch_order,Toenail,Band_Combo,Band_Number,Shield to Tip,Tarsus,Mass,Blood,Comments,
5-Nov-22,2022,SPB, SSW,BO,BO2,48.80,35.10,2,TN2,,,21.43,22.26,22,,,
7-Nov-22,2022,LAG,LAG S TOP,AO,AO2,52.00,36.05,1,TN1,,,26.94,26.21,23,,,
8-Nov-22,2022,LAG,LAG S TOP,AO,AO3,53.75,37.80,2,TN2,,,23.43,25.60,24,,,
9-Nov-22,2022,LAG,LAG S TOP,AO,AO4,58.64,41.45,3,TN3,,,22.79,25.17,26,,,
10-Nov-22,2022,LAG,LAG S TOP,AO,AO5,56.00,36.25,4,TN4,,,21.42,26.26,26,,,
12-Nov-22,2022,CACT,DITCH,BF,BF4,51.80,37.50,4,TN4,,,22.25,27.02,26,,hatched on the 11th,
12-Nov-22,2022,LAG,LAG S TOP,AO,AO6,57.90,36.95,5,TN5,,,21.59,27.66,28,,,
17-Nov-22,2022,CACT, DITCH,BF,BF6,51.10,35.70,5,TN5,,,22.23,25.93,23,,,
25-Nov-22,2022,SPB,S OF N ARM,BV,BV1,51.30,35.70,1,TN1,,,22.98,26.34,22,,hatched on Nov 24th,
26-Nov-22,2022,SPB,S OF N ARM,BV,BV4,52.20,36.00,3,TN3,,,21.49,25.26,26,,,
27-Nov-22,2022,SPB,S OF N ARM,BV,BV3,54.80,34.90,4,TN4,,,21.51,26.77,224,,,
29-Nov-22,2022,SPB,S OF N ARM,BV,BV5,55.10,34.50,5,TN5,,,20.97,24.68,21,,,
5-Dec-22,2022,NPB,SC HILL,CD,CD4,50.20,35.10,4,TN4,,,20.62,26.44,23,,"HATCHED DEC 3, BUT DIDN’T FIND UNTIL TODAY",
7-Dec-22,2022,SY1,CACTUS FENCE,CB,CB4,51.30,36.40,1,TN1,,,23.05,25.79,24,,,
7-Dec-22,2022,NCST,NCST ESE ,CF,CF4,49.30,34.20,3,TN3,,,25.23,20.48,21,,,
7-Dec-22,2022,SPB,SPB SE,BY,BY3,54.50,37.70,1,TN1,,,22.51,26.21,30,,,
8-Dec-22,2022,SY1,CACTUS FENCE,CB,CB9,50.80,37.10,2,TN2,,,,,,,,
9-Dec-22,2022,SPB,SPB SE,BY,BY2,54.30,38.30,6,TN6,,,21.75,27.25,,,CAUGHT ON DAY 2,
10-Dec-22,2022,SPB,SPB SE,BY,BY9,53.70,36.00,7,TN7,,,21.67,26.22,24,,,
10-Dec-22,2022,SY1,CACTUS FENCE,CB,CB8,50.10,37.10,3,TN3,,,21.16,26.64,,,,
11-Dec-22,2022,SPB,SPB SE,BY,BY10,56.50,37.50,8,TN8,,,21.89,25.87,26,,MAY BE IN THE WRONGLY LABELLED TUBE,
13-Dec-22,2022,SPB,SPB SE,BY,BY11,55.20,35.20,,TN1+5,,,21.06,25.29,24,,MAY BE IN THE WRONGLY LABELLED TUBE,
18-Dec-22,2022,CAMP,CAMPBUSH NNE ,CR,CR3,,,1,TN1,,,21.70,26.71,30,,,
18-Dec-22,2022,NCVE ,NCVE SE CORNER,CN,CN5,51.00,37.70,1,TN1,,,22.57,24.59,22,,,
6-Sep-23,2023,NCVE,NCVE,G,G3,57.03,38.35,4,TN4,,,21.45,26.73,26,,Hatched from G3,
7-Sep-23,2023,SY1,SY1,E,E3,52.05,37.69,4,TN4,,,21.21,26.40,28,,"Hatched from E3, Chicks 1 and 2 found",
9-Sep-23,2023,NCST,NCST,H,H7,55.12,37.01,3,TN3,,,21.26,26.89,36,,Hatched from H7,
12-Sep-23,2023,NPB,NPB,J,D2,52.93,36.83,3,TN3,,,22.84,22.18,26,,Hatched from D2,
12-Sep-23,2023,NCST,NCST,N,N4,52.83,37.02,3,TN3,,,22.54,27.19,25,,Hatched from N4,
13-Sep-23,2023,NCST,NCST,N,N5 ,52.68,36.84,4,TN4,,,22.22,26.10,27,,"Likely hatched from N5, N1 is missing ",
13-Sep-23,2023,NCST,NCST,J,D6,55.05,36.56,4,TN4,,,23.52,27.37,28,,Hatched from D6,
16-Sep-23,2023,SY2,SY2,C,D1,51.15,35.78,1,TN1,,,21.59,26.96,20,,Hatched from D1,
30-Sep-23,2023,HAY,HAY,X,AD5,50.03,35.37,1,TN1,,,21.08,26.44,23,,Hatched from AD5,
3-Oct-23,2023,LOOK,LOOK,AD,AD6,51.55,37.29,1,TN1,,,22.45,27.48,22,,Hatched from AD6,
4-Oct-23,2023,HAY,HAY,X,X3,58.15,39.09,3,TN3,,,22.91,26.85,30,,"Hatched from X3. TN2 found dead at the nest, collected",
16-Oct-23,2023,NCST,NCST,BS,BS7,53.48,36.40,5,TN5,,,20.90,27.77,27,,hatched from BS7,
16-Oct-23,2023,SPB,SPB,BI,BI4,53.23,36.63,4,TN4,,,21.28,24.63,22,,Hatched from BI4,
18-Oct-23,2023,RF,RF,AY,AS3,52.88,36.04,1,TN1,,,22.33,28.92,26,,Hatched from AS3,
19-Oct-23,2023,RF,RF,AY,AS1,52.13,34.49,2,TN2,,,22.14,25.76,24,,"Hatched from AS1, tn1 also present at the nest",
19-Oct-23,2023,NPB,NPB,AT,AT2,52.22,36.55,3,TN3,,,20.64,26.77,25,,"Hatched from AT2, 1 and 4 in the nest, saw XW/XX",
21-Oct-23,2023,NPB,NPB,AP,AP1,48.58,36.06,4,TN4,,,20.85,25.99,22,,hatched from AP1,
25-Oct-23,2023,SY1,SY1,AS,AY5,54.14,36.35,1,TN1,,,20.18,27.56,28,,hatched from AY5,
25-Oct-23,2023,TRIG,TRIG,AR,AR1,52.75,37.02,1,TN1,,,22.03,25.57,26,,"hatched from AR1, AR2,3,4 pipping",
29-Oct-23,2023,RF,RF,AY,AY1,51.05,34.76,5,TN5,,,21.29,27.73,22,,"Hatched from AY1, found TN4 in nest",
19-Dec-23,2023,TRIG,TRIG,CK,CK10,48.93,36.80,1,TN1,,,20.13,23.61,20,,"Hatched from CK10, justin measure, small and looked dehydrated. Collected all the other eggs since they are not developing",
21-Dec-23,2023,LAGN,TOP,CR,CR5,,,1,TN1,,,22.05,27.60,24,,"hatched from CR5, justin measure",
23-Dec-23,2023,LAGN,TOP,CR,CR3,,,2,TN2,,,20.34,24.54,23,,"Hatched from CR3, CR1, 2, 4 in nest and warm.",
11-Dec-23,2023,SPB,SPB NE CORNER,CN,CN3,50.09,36.61,1,TN1,,,21.20,27.92,27,,Egg 3 Quin measure,
11-Dec-23,2023,SPB,SPB,CM,CM4,53.41,35.41,4,TN4,,,21.55,26.93,23,,Egg 4 Justin measure,
12-Dec-23,2023,SPB,SPB NE CORNER,CN,CN2,51.75,36.52,2,TN2,,,21.92,28.77,24,,"Egg 2 hatched on the Dec 11, quin measure. Egg 2, just clipped the toenail, actively hatching",
12-Dec-23,2023,SPB,SPB NE CORNER,CN,CN1,50.85,36.13,3,TN3,,,21.55,26.36,24,,Egg 1 Justin measure,
13-Dec-23,2023,SPB,SPB NE CORNER,CN,CN4,51.00,35.75,4,TN4,,,20.43,26.46,26,,Egg 4 Justin measure,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
